"date","u_gap"
1990-06-01,-0.0198324661397072
1990-07-01,0.00785789749478405
1990-08-01,0.03435401595927
1990-09-01,0.0634158499159734
1990-10-01,0.049272283160699
1990-11-01,0.0862035710027946
1990-12-01,0.111549671288528
1991-01-01,0.0988231739951369
1991-02-01,0.104686096763656
1991-03-01,0.111438264603017
1991-04-01,0.0802414193233802
1991-05-01,0.0952336943837768
1991-06-01,0.0735722595576864
1991-07-01,0.0518194342214451
1991-08-01,0.033774920131947
1991-09-01,-0.00423343715502271
1991-10-01,0.0314187596571146
1991-11-01,-0.00168887056625033
1991-12-01,0.0443190637801059
1992-01-01,0.0481428966719388
1992-02-01,0.0628461674641128
1992-03-01,0.0591486717055637
1992-04-01,0.0306286580576656
1992-05-01,0.0549180431682876
1992-06-01,0.0452090971385992
1992-07-01,0.017757638590324
1992-08-01,-0.0145782961815546
1992-09-01,0.000250287721669018
1992-10-01,-0.0159838070324028
1992-11-01,-0.0402768759795662
1992-12-01,-0.0680560572790198
1993-01-01,-0.0621933772378359
1993-02-01,-0.0681357012826188
1993-03-01,-0.0925960262115237
1993-04-01,-0.0551108741997375
1993-05-01,-0.0767573201114836
1993-06-01,-0.0851062228596985
1993-07-01,-0.0820682129068161
1993-08-01,-0.0911549118856456
1993-09-01,-0.0705361493279013
1993-10-01,-0.0802481713457766
1993-11-01,-0.0942356123576191
1993-12-01,-0.0958360543535323
1994-01-01,-0.075173411212931
1994-02-01,-0.0555410074129687
1994-03-01,-0.0584178537525362
1994-04-01,-0.0716184675578237
1994-05-01,-0.0846885347204625
1994-06-01,-0.0662152461659903
1994-07-01,-0.0631113168713058
1994-08-01,-0.0754311973625999
1994-09-01,-0.0943791689460927
1994-10-01,-0.0937874168070421
1994-11-01,-0.0780300809255581
1994-12-01,-0.0978875843418331
1995-01-01,-0.0908483982513619
1995-02-01,-0.0928886663614015
1995-03-01,-0.0749513151157587
1995-04-01,-0.0244882146332125
1995-05-01,8.64223222959796e-05
1995-06-01,0.00876843995820242
1995-07-01,0.00144037070395357
1995-08-01,0.0187770883275122
1995-09-01,0.0168035873281592
1995-10-01,-0.0335790188761414
1995-11-01,-0.0225689815662692
1995-12-01,-0.0127753863136601
1996-01-01,-0.00999644933234108
1996-02-01,-0.0298769161964233
1996-03-01,-0.0284774417803448
1996-04-01,-0.00655786485088846
1996-05-01,-0.0219055816393512
1996-06-01,-0.0560072721395425
1996-07-01,-0.0519164615059362
1996-08-01,-0.0607707909566718
1996-09-01,-0.057906529081854
1996-10-01,-0.0655137228686811
1996-11-01,-0.0464482557536489
1996-12-01,-0.0179207982339247
1997-01-01,-0.0326080391024527
1997-02-01,-0.00611284957098627
1997-03-01,-0.024222479353136
1997-04-01,-0.0322071385818871
1997-05-01,-0.0665803260552732
1997-06-01,-0.0584671337906862
1997-07-01,-0.0666263711932942
1997-08-01,-0.0690384771648572
1997-09-01,-0.0435199146042221
1997-10-01,-0.0470805338980438
1997-11-01,-0.0447509585911891
1997-12-01,-0.0450360121577214
1998-01-01,-0.0347735502224944
1998-02-01,-0.033005958755428
1998-03-01,-0.0326751599861505
1998-04-01,-0.0473485111903772
1998-05-01,-0.0251987690099153
1998-06-01,-0.0227752568388069
1998-07-01,-0.0138198429682586
1998-08-01,-0.0126473468296511
1998-09-01,-0.0208566171736355
1998-10-01,0.00824265336251714
1998-11-01,-0.00990451771550097
1998-12-01,-0.0277980041479802
1999-01-01,-0.0409597478479693
1999-02-01,-0.0278267829046534
1999-03-01,-0.0423091310570765
1999-04-01,-0.031955444875241
1999-05-01,-0.0331856391453911
1999-06-01,-0.0204437169094047
1999-07-01,-0.00753449293801263
1999-08-01,-0.0280371543384201
1999-09-01,-0.00956364257092453
1999-10-01,-0.0293470661354491
1999-11-01,-0.0248210081536782
1999-12-01,-0.0374941700870681
2000-01-01,-0.046906109959542
2000-02-01,-0.0295122388819656
2000-03-01,-0.0406485209302488
2000-04-01,-0.0503495402230497
2000-05-01,-0.0141532613561585
2000-06-01,-0.0176243057538195
2000-07-01,-0.000780633928114819
2000-08-01,-0.00658729978652454
2000-09-01,-0.0119770749534827
2000-10-01,0.000589284559602055
2000-11-01,-0.0245931785943879
2000-12-01,-0.0210006999142609
2001-01-01,-0.0117602318832528
2001-02-01,-0.0077727695165725
2001-03-01,0.0073348073557095
2001-04-01,0.0271776275127988
2001-05-01,0.0255899188878782
2001-06-01,0.0462263556653297
2001-07-01,0.0309098327747224
2001-08-01,0.0678627418156463
2001-09-01,0.0639664371494522
2001-10-01,0.0946375370624372
2001-11-01,0.11618742668166
2001-12-01,0.123283522594275
2002-01-01,0.118436318736412
2002-02-01,0.0647877623893161
2002-03-01,0.0793774412122918
2002-04-01,0.0568677443469883
2002-05-01,0.0119389778268058
2002-06-01,-0.00676761699936164
2002-07-01,-0.00685206715112933
2002-08-01,-0.00732368241030727
2002-09-01,-0.0330435388948106
2002-10-01,-0.0471179713566903
2002-11-01,-0.00421210210123239
2002-12-01,0.00665399353178242
2003-01-01,-0.0132014744263401
2003-02-01,0.00800984644345126
2003-03-01,0.0210265618993191
2003-04-01,0.0286667541181775
2003-05-01,0.0213615189588579
2003-06-01,0.0246911239025004
2003-07-01,0.0324112506093062
2003-08-01,0.0158717026655189
2003-09-01,0.0189351474624585
2003-10-01,-0.0190423871259211
2003-11-01,-0.0503715529179734
2003-12-01,-0.0837550116092973
2004-01-01,-0.0734159998711526
